	votes	unemployment_rate	med_hhinc	per_capita_inc	poverty_all_ages_pct	deep_pov_all	deep_pov_children	population	area_in_square_miles	voter_turnout_rate	democrat	county	state	education	religion	age_old	age_young	age_adult	ethnic_male	ethnic_female
1160	1.3078546682087524	0.048	0.005605521558569993	0.7361392944496192	0.177	0.07901220741000001	0.10510810720000001	1.0666625832191592	-0.1782565882307139	0.397200238	0	Knox County	TN	High School	MAINLINE CHRISTIAN	0.197939839	0.33541314	0.39014987	WHITE MALE	WHITE FEMALE
1161	-0.341585380469754	0.075	-0.6607318373744814	-0.6218178113628283	0.20199999999999999	0.06986242476	0.08740601504	-0.2679397231402717	-0.07017921730887988	0.286715287	0	Newton County	TX	LT High School	MAINLINE CHRISTIAN	0.23194623099999997	0.29786929799999995	0.37037037	WHITE MALE	WHITE FEMALE
1162	-0.3111670767464639	0.077	-1.2072540710033508	-1.0802554348716782	0.23600000000000002	0.1141473174	0.18927064500000002	-0.25158706658994046	-0.12320204964824387	0.380297222	0	Attala County	MS	LT High School	MAINLINE CHRISTIAN	0.22806280599999998	0.335608885	0.342960668	WHITE MALE	WHITE FEMALE
1163	-0.3413030323535106	0.07	-0.061821473095369735	-0.9359746837635392	0.177	0.05801269338	0.08058252427	-0.28070495376639465	-0.1971034056555164	0.404728511	0	Ritchie County	WV	LT High School	NON-CATHOLIC CHRISTIAN	0.2525546	0.264375877	0.362252053	WHITE MALE	WHITE FEMALE
1164	-0.37199427258916934	0.027000000000000003	0.16343096247649264	0.7359639836949313	0.12	0.00908500973	0.0	-0.3093404711168868	-0.07697420399854818	0.513175231	0	Wallace County	KS	GTE Bachelor's	MAINLINE CHRISTIAN	0.272727274	0.31554677200000003	0.306982873	WHITE MALE	WHITE FEMALE
1165	-0.10800819550545508	0.052000000000000005	0.2121006926862604	-0.5033077411938102	0.13	0.06287233589	0.07542667428	-0.09249127558073053	-0.2730338564582817	0.3824864	0	Barrow County	GA	LT High School	CATHOLIC	0.160713811	0.353443015	0.42396178900000003	WHITE MALE	WHITE FEMALE
1166	-0.34258301048048073	0.081	-1.631895401305552	-0.8984581822603294	0.282	0.08444714459	0.1693121693	-0.287119514101043	-0.05339544349854241	0.472753693	0	Shannon County	MO	LT High School	MAINLINE CHRISTIAN	0.247396464	0.29450230099999997	0.34899491299999996	WHITE MALE	WHITE FEMALE
1167	-0.37049782757307925	0.054000000000000006	-0.9301092915066426	-0.8977569392415777	0.195	0.03491152559	0.0	-0.3071586261425019	0.05739261004584184	0.444549763	0	Wheatland County	MT	Some College	CATHOLIC	0.291469194	0.313270143	0.299526067	WHITE MALE	WHITE FEMALE
1168	-0.3617544475734083	0.039	-0.7891405992522048	-0.29679167217146796	0.19399999999999998	0.09018036071999999	0.12215320910000001	-0.3008878184049945	-0.18322878448633592	0.477493606	0	Knox County	MO	LT High School	NON-CATHOLIC CHRISTIAN	0.25447570399999997	0.31560102400000006	0.325831203	WHITE MALE	WHITE FEMALE
1169	-0.3115435409014551	0.061	-1.240306519363125	-1.245047544278301	0.271	0.06910321489	0.09017767348	-0.26162419237254264	-0.09004711075046191	0.444485589	0	Dixie County	FL	LT High School	PENTECOSTAL / CHARISMATIC	0.252175523	0.25643399299999997	0.373634513	WHITE MALE	WHITE FEMALE
1170	-0.36950019756235253	0.023	-0.2836034015894558	0.036649383244911536	0.12	0.05080605764999999	0.04255319149	-0.30789655614115913	0.16150580349076715	0.560988716	0	Haakon County	SD	GTE Bachelor's	MAINLINE CHRISTIAN	0.311123053	0.282106395	0.29554003300000004	WHITE MALE	WHITE FEMALE
1171	-0.20339480077635402	0.071	0.19375658384658562	0.35185812017374973	0.14300000000000002	0.054008754980000004	0.07868161136	-0.1372206948067	0.2783706956311767	0.348042228	0	Tuolumne County	CA	GTE Bachelor's	OTHER MISC	0.291422294	0.23901022100000002	0.34288480400000004	WHITE MALE	WHITE FEMALE
1172	-0.16201197853894478	0.037000000000000005	-0.24939411753708932	0.3597471041347051	0.17600000000000002	0.060490474509999996	0.09055695141999999	-0.15555713719757736	-0.026424412548928976	0.453144932	0	Kerr County	TX	High School	MAINLINE CHRISTIAN	0.286723581	0.273535472	0.30709449600000005	WHITE MALE	WHITE FEMALE
1173	-0.3235809822572992	0.09	-1.3262428850985384	-1.5004753138585665	0.285	0.2005705636	0.3432005342	-0.2577524557562111	-0.24927751752057517	0.340343619	0	Ben Hill County	GA	LT High School	MAINLINE CHRISTIAN	0.21111302499999998	0.35114635400000005	0.368154915	WHITE MALE	WHITE FEMALE
